PID,CHALT,LCITY,INCOME,WEEKEND,FEMSEX,ALONE,IVTT_c,IVTT_a,IVTT_r,OVTT_c,OVTT_a,OVTT_r,COST_c,COST_a,COST_r,FREQ_a,FREQ_r
1,1,0,45,0,1,0,186,56,174,0,149,99,53.58,164.2,50.65,9,4
2,3,0,70,1,0,1,226,56,209,0,139,94,65.55,159.5,66.65,9,4
3,1,0,35,0,0,0,226,56,209,0,139,94,65.55,159.5,66.65,9,4
4,1,0,45,0,0,1,226,56,209,0,139,94,65.55,159.5,66.65,9,4
5,1,0,35,0,0,1,226,56,209,0,139,94,65.55,159.5,66.65,9,4
6,1,0,45,0,0,1,226,56,209,0,139,94,65.55,159.5,66.65,9,4
7,1,0,70,0,0,1,226,56,209,0,139,94,65.55,159.5,66.65,9,4
8,1,0,55,1,0,1,226,56,209,0,139,94,65.55,159.5,66.65,9,4
9,1,0,70,0,0,0,237,56,209,0,144,104,69.16,174.2,68.65,9,4
10,1,0,45,0,0,1,166,56,174,0,139,64,49.02,158.2,46.65,9,4
11,1,0,55,0,1,1,174,56,174,0,139,64,50.73,159.2,48.65,9,4
12,1,0,55,0,0,1,174,56,174,0,139,64,50.73,159.2,48.65,9,4
13,3,0,55,0,0,1,178,56,260,0,129,64,53.01,159.2,46.65,9,2
14,1,0,45,0,0,0,178,56,260,0,129,64,53.01,159.2,46.65,9,2
15,1,0,55,0,1,1,178,56,260,0,129,64,53.01,159.2,46.65,9,2
16,1,0,70,0,0,1,184,56,260,0,134,66,53.77,154.2,47.65,9,2
17,1,0,55,0,0,1,188,56,260,0,139,77,55.29,159.2,48.65,9,2
18,1,0,45,0,0,1,188,56,260,0,139,77,55.29,159.2,48.65,9,2
19,1,0,55,0,0,1,188,56,260,0,139,77,55.29,159.2,48.65,9,2
20,1,0,35,0,0,1,200,56,281,0,124,59,56.24,156.9,50.05,9,2
21,1,0,45,0,0,1,200,56,281,0,124,59,56.24,156.9,50.05,9,2
22,1,0,70,0,1,1,200,56,281,0,124,59,56.24,156.9,50.05,9,2
23,1,0,70,1,0,1,200,56,281,0,124,59,56.24,156.9,50.05,9,2
24,1,0,45,0,1,1,210,56,281,0,139,74,60.23,159.2,53.05,9,2
25,1,0,70,0,0,0,194,56,268,0,123,69,55.29,146.2,57.65,9,2
26,1,0,70,0,0,1,194,56,268,0,123,69,55.29,146.2,57.65,9,2
27,1,0,55,0,0,1,194,56,268,0,123,69,55.29,146.2,57.65,9,2
28,1,0,25,1,0,1,194,56,268,0,123,69,55.29,146.2,57.65,9,2
29,1,0,70,0,0,0,201,56,209,0,109,74,57,150.2,59.65,9,4
30,1,0,5,0,0,1,210,56,209,0,109,74,59.47,150.2,59.65,9,4
31,1,0,35,1,0,1,210,56,209,0,109,74,59.47,150.2,59.65,9,4
32,1,0,35,0,0,1,199,56,209,0,104,69,57,149.55,55.65,9,4
33,1,0,55,0,0,1,199,56,209,0,104,69,57,149.55,55.65,9,4
34,1,0,70,1,0,1,199,56,209,0,104,69,57,149.55,55.65,9,4
35,2,0,70,0,0,1,214,56,215,0,94,63,60.23,146.2,57.25,9,4
36,1,0,70,0,0,1,214,56,215,0,94,63,60.23,146.2,57.25,9,4
37,1,0,45,0,0,1,214,56,215,0,94,63,60.23,146.2,57.25,9,4
38,1,0,55,0,0,1,214,56,215,0,94,63,60.23,146.2,57.25,9,4
39,1,0,70,0,1,0,214,56,215,0,94,63,60.23,146.2,57.25,9,4
40,1,0,55,0,0,0,214,56,215,0,94,63,60.23,146.2,57.25,9,4
41,1,0,55,0,0,0,214,56,215,0,94,63,60.23,146.2,57.25,9,4
42,1,0,70,0,0,0,216,56,215,0,100,79,60.8,146.2,58.75,9,4
43,2,0,45,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
44,2,0,70,0,0,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
45,2,0,35,0,1,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
46,2,0,70,0,0,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
47,2,0,70,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
48,2,0,55,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
49,2,0,25,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
50,2,0,70,0,0,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
51,2,0,70,1,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
52,2,0,45,1,0,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
53,1,0,70,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
54,1,0,25,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
55,1,0,70,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
56,1,0,45,0,0,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
57,1,0,70,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
58,1,0,15,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
59,1,0,70,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
60,1,0,55,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
61,1,0,35,0,0,1,262,56,215,0,85,74,71.63,142.8,58.25,9,4
62,1,0,35,1,0,0,262,56,215,0,85,74,71.63,142.8,58.25,9,4
63,1,0,55,0,0,0,251,56,316,0,85,59,73.53,145.8,58.25,9,2
64,1,0,45,0,0,1,251,56,316,0,85,59,73.53,145.8,58.25,9,2
65,1,0,70,1,0,1,265,56,316,0,94,74,76.76,146.2,60.25,9,2
66,3,1,70,1,1,1,245,56,237,0,77,94,69.35,151.2,60.85,9,4
67,2,1,55,0,0,0,245,56,237,0,77,94,69.35,151.2,60.85,9,4
68,2,1,55,0,1,1,245,56,237,0,77,94,69.35,151.2,60.85,9,4
69,2,1,70,1,0,1,245,56,237,0,77,94,69.35,151.2,60.85,9,4
70,1,1,70,0,0,0,245,56,237,0,77,94,69.35,151.2,60.85,9,4
71,1,1,45,0,0,1,245,56,237,0,77,94,69.35,151.2,60.85,9,4
72,1,1,70,0,0,1,245,56,237,0,77,94,69.35,151.2,60.85,9,4
73,3,1,35,0,0,0,231,56,237,0,97,69,67.26,155.8,59,9,4
74,3,1,15,0,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
75,3,1,55,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
76,3,1,70,1,1,0,231,56,237,0,97,69,67.26,155.8,59,9,4
77,3,1,70,1,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
78,3,1,45,1,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
79,3,1,70,1,0,0,231,56,237,0,97,69,67.26,155.8,59,9,4
80,3,1,35,1,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
81,3,1,70,1,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
82,3,1,45,1,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
83,2,1,70,0,0,0,231,56,237,0,97,69,67.26,155.8,59,9,4
84,2,1,70,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
85,2,1,70,0,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
86,2,1,70,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
87,2,1,70,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
88,2,1,70,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
89,2,1,55,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
90,2,1,70,0,0,0,231,56,237,0,97,69,67.26,155.8,59,9,4
91,2,1,55,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
92,2,1,70,1,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
93,1,1,35,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
94,1,1,55,0,0,0,231,56,237,0,97,69,67.26,155.8,59,9,4
95,1,1,70,0,1,0,231,56,237,0,97,69,67.26,155.8,59,9,4
96,1,1,70,0,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
97,1,1,70,0,1,0,231,56,237,0,97,69,67.26,155.8,59,9,4
98,1,1,35,0,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
99,1,1,31.71,0,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
100,1,1,25,0,1,1,231,56,237,0,97,69,67.26,155.8,59,9,4
101,1,1,25,1,0,1,231,56,237,0,97,69,67.26,155.8,59,9,4
